Name,Device ID,Scheduled Time,Issued Time,Response Time,Duration (minutes),Location
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-10 12:35:53 CEST,2020-04-10 12:35:53 CEST,2020-04-10 12:36:01 CEST,7.996,Unknown
User #26013,F4A19D0663CE4F52AD1CFBAACD16563B,2020-04-11 09:29:43 CEST,2020-04-11 09:29:43 CEST,2020-04-11 09:29:45 CEST,2.136,Unknown
User #26028,868db7f350c3c98b,2020-04-12 15:23:41 CEST,2020-04-12 15:23:41 CEST,2020-04-12 15:23:43 CEST,1.997,Unknown
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 14:26:07 CEST,2020-04-12 14:26:07 CEST,2020-04-12 14:26:10 CEST,2.802,Unknown
User #26035,50CB47531368418CA6675B3B2AD144B3,2020-04-12 14:26:12 CEST,2020-04-12 14:26:12 CEST,2020-04-12 14:26:16 CEST,3.07,Unknown
User #26045,CF861899B19C40D482AD3A91C5A718B8,2020-04-12 14:02:31 CEST,2020-04-12 14:02:31 CEST,2020-04-12 14:03:23 CEST,52.355,Unknown
User #26058,766bee10db0580dd,2020-04-13 12:06:13 JST,2020-04-13 12:06:13 JST,2020-04-13 12:06:19 JST,6.623,Unknown
User #26293,dd62df38edb95a28,2020-04-19 22:22:21 CEST,2020-04-19 22:22:21 CEST,2020-04-19 22:22:22 CEST,0.679,Unknown
User #26319,9bc1c52a9f269e44,2020-04-21 13:17:10 EEST,2020-04-21 13:17:10 EEST,2020-04-21 13:17:13 EEST,2.855,Unknown
User #26319,9bc1c52a9f269e44,2020-04-21 15:11:29 EEST,2020-04-21 15:11:29 EEST,2020-04-21 15:11:31 EEST,2.448,Unknown
User #26393,FB522C1556BF4DB197D1C1B5BFF84126,2020-04-25 13:26:56 CEST,2020-04-25 13:26:56 CEST,2020-04-25 13:27:05 CEST,9.092,Unknown
